"problem","title","boj_code_file","tag_code_file","study_group","reason","official_tags","original_code_file"
"1003","피보나치 함수","1003_dp.cpp","1003.cpp","01_DP/dp","code+official:dp","dp","1003.cpp"
"1004","어린 왕자","1004_geometry.cpp","1004.cpp","04_GEOMETRY/geometry","official:geometry","math;geometry","1004.cpp"
"1005","ACM Craft","1005_topological_sort.cpp","1005.cpp","02_GRAPH/topological_sort","filename:topological","dp;graphs;dag;topological_sorting","1005_topological.cpp"
"1009","분산처리","1009_math.cpp","1009.cpp","07_MATH/math","official:math","math;implementation","1009.cpp"
"1010","다리 놓기","1010_dp.cpp","1010.cpp","01_DP/dp","code+official:dp","math;dp;combinatorics","1010.cpp"
"1012","유기농 배추","1012_dfs.cpp","1012.cpp","02_GRAPH/dfs","code+official:dfs","graphs;graph_traversal;bfs;dfs;grid_graph;flood_fill","1012.cpp"
"1016","제곱 ㄴㄴ 수","1016_number_theory.cpp","1016.cpp","07_MATH/number_theory","filename:prime","math;number_theory;primality_test;sieve","1016_prime.cpp"
"1017","소수 쌍","1017_bipartite_matching.cpp","1017.cpp","02_GRAPH/bipartite_matching","code-audit:1017_prime.cpp","math;number_theory;primality_test;sieve;bipartite_matching","1017_prime.cpp"
"1019","책 페이지","1019_math.cpp","1019.cpp","07_MATH/math","official:math","math;implementation","1019.cpp"
"1023","괄호 문자열","1023_dp.cpp","1023.cpp","01_DP/dp","code+official:dp","math;dp;combinatorics","1023.cpp"
"1037","약수","1037_number_theory.cpp","1037.cpp","07_MATH/number_theory","official:number_theory","math;number_theory","1037.cpp"
"1043","거짓말","1043_union_find.cpp","1043.cpp","02_GRAPH/union_find","filename:unionfind","data_structures;graphs;graph_traversal;disjoint_set","1043_unionfind.cpp"
"1052","물병","1052_bitmask.cpp","1052.cpp","08_TECHNIQUE/bitmask","filename:bit","math;greedy;bitmask","1052_bit.cpp"
"1068","트리","1068_dfs.cpp","1068.cpp","02_GRAPH/dfs","code+official:dfs","graphs;graph_traversal;trees;dfs","1068.cpp"
"1072","게임","1072_binary_search.cpp","1072.cpp","05_SEARCH/binary_search","official:binary_search","math;binary_search","1072.cpp"
"1075","나누기","1075_bruteforce.cpp","1075.cpp","05_SEARCH/bruteforce","official:bruteforcing","math;bruteforcing","1075.cpp"
"1076","저항","1076_implementation.cpp","1076.cpp","10_IMPLEMENTATION/implementation","official:implementation","implementation","1076.cpp"
